Borough,Year,Total_Enrollment,num_Female,percent_Female,num_Male,percent_Male,num_Asian,percent_Asian,num_Black,percent_Black,num_Hispanic,percent_Hispanic,num_Multiple_Race_Categories_Not_Represented,percent_Multiple_Race_Categories_Not_Represented,num_White,percent_White,num_Students_with_Disabilities,percent_Students_with_Disabilities,num_Poverty,percent_Poverty,Economic_Need_Index,percent_Native_American,num_Native_American,percent_Multi_Racial,num_Multi_Racial
Bronx,2013-14,233588,112801,48.3,120787,51.7,10277,4.4,67771,29,143108,61.3,3073,1.3,9359,4,50953,21.8,196495,84.1,No Data,NA,NA,NA,NA
Bronx,2014-15,239110,115300,48.2,123810,51.8,10652,4.5,68935,28.8,145866,61,3007,1.3,10650,4.5,52895,22.1,198620,83.1,78.10%,NA,NA,NA,NA
Bronx,2015-16,241986,116750,48.2,125236,51.8,10754,4.4,68436,28.3,149372,61.7,3275,1.4,10149,4.2,54745,22.6,198581,82.1,77.60%,NA,NA,NA,NA
Bronx,2016-17,241776,116584,48.2,125190,51.8,11109,4.6,66913,27.7,149741,61.9,NA,NA,10381,4.3,55462,22.9,197520,81.7,0.774,0.9,2110,0.3,797
Bronx,2017-18,239955,115867,48.3,124084,51.7,11458,4.8,65599,27.3,148849,62,NA,NA,10531,4.4,55719,23.2,208334,86.8,0.857,0.9,2154,0.4,928
Bronx,2018-19,236267,114014,48.3,122253,51.7,11608,4.9,63949,27.1,146742,62.1,NA,NA,10219,4.3,55847,23.6,203040,85.9,0.854,1,2272,0.4,1016
Bronx,2019-20,235448,113952,48.4,121496,51.6,11739,5,63136,26.8,145870,62,NA,NA,10003,4.2,54899,23.3,202976,86.2,0.868,0.9,2208,0.5,1125
Bronx,2020-21,227224,109949,48.4,117275,51.6,11429,5,60851,26.8,140947,62,NA,NA,9523,4.2,53144,23.4,194432,85.6,0.858,1,2206,0.6,1331
Brooklyn,2013-14,333050,161232,48.4,171817,51.6,49204,14.8,133758,40.2,92618,27.8,4612,1.4,52858,15.9,59948,18,249097,74.8,No Data,NA,NA,NA,NA
Brooklyn,2014-15,339267,164215,48.4,175052,51.6,50908,15,132860,39.2,94858,28,5295,1.6,55346,16.3,61439,18.1,247938,73.1,65.60%,NA,NA,NA,NA
Brooklyn,2015-16,342119,165555,48.4,176564,51.6,52527,15.4,130298,38.1,95544,27.9,6247,1.8,57503,16.8,64433,18.8,243916,71.3,64.00%,NA,NA,NA,NA
Brooklyn,2016-17,344408,166334,48.3,178072,51.7,54910,15.9,127475,37,95690,27.8,NA,NA,59440,17.3,66309,19.3,244956,71.1,0.632,0.8,2630,0.8,2884
Brooklyn,2017-18,342622,165532,48.3,177070,51.7,55732,16.3,123782,36.1,95225,27.8,NA,NA,60569,17.7,67444,19.7,261947,76.5,0.737,0.8,2760,0.9,3238
Brooklyn,2018-19,339985,164322,48.3,175662,51.7,56134,16.5,119917,35.3,94884,27.9,NA,NA,61262,18,68086,20,255263,75.1,0.728,0.8,2787,1.1,3651
